tahun_bulan,jumlah_transaksi,avg_lama_dibayar,min_lama_dibayar,max_lama_dibayar
201901,117,7.0467,1,14
201902,354,7.5399,1,14
201903,668,7.4602,1,14
201904,984,7.2910,1,14
201905,1462,7.3692,1,14
201906,1913,7.5729,1,14
201907,2667,7.4549,1,14
201908,3274,7.6216,1,14
201909,4327,7.5021,1,14
201910,5577,7.4706,1,14
201911,7162,7.5188,1,14
201912,10131,7.4980,1,14
202001,5062,7.4152,1,14
202002,5872,7.5092,1,14
202003,7323,7.4674,1,14
202004,7955,7.4792,1,14
202005,10026,7.4549,1,14
